Height [mm],Pressure [Atm]
16.2,0.76784
16.3,0.76804
16.2,0.76854
16.6,0.76884
16.6,0.76854
16.8,0.76824
16.7,0.76764
16.7,0.76774
16.6,0.76864
16.2,0.76844
16.8,0.76894
16.6,0.76964
16.7,0.77024
16.7,0.77014
16.8,0.76934
16.7,0.76974
16.6,0.76954
16.7,0.76924
16.8,0.76874
16.8,0.76834
16.7,0.76874
16.8,0.76854
16.7,0.76814
16.8,0.76784
16.7,0.76774
16.7,0.76764
16.7,0.76754
16.7,0.76804
16.6,0.76784
16.7,0.76774
16.8,0.76774
16.7,0.76744
16.8,0.76804
16.7,0.76874
16.6,0.76974
